x1,y1,z1,x2,y2,z2,x3,y3,z3
9/6/2022,9 SEP 22 0.5 C,2,9/7/2022,9 SEP 22 0.5 C,2,9/8/2022,9 SEP 22 0.5 C,2
9/6/2022,9 SEP 22 1 C,515,9/7/2022,9 SEP 22 1 C,515,9/8/2022,9 SEP 22 1 C,515
9/6/2022,9 SEP 22 1.5 C,2855,9/7/2022,9 SEP 22 1.5 C,2855,9/8/2022,9 SEP 22 1.5 C,2855
9/6/2022,9 SEP 22 2 C,1640,9/7/2022,9 SEP 22 2 C,1640,9/8/2022,9 SEP 22 2 C,1640
9/6/2022,9 SEP 22 2.5 C,462,9/7/2022,9 SEP 22 2.5 C,462,9/8/2022,9 SEP 22 2.5 C,462
9/6/2022,9 SEP 22 3 C,13,9/7/2022,9 SEP 22 3 C,13,9/8/2022,9 SEP 22 3 C,13
9/6/2022,9 SEP 22 3.5 C,1,9/7/2022,9 SEP 22 3.5 C,1,9/8/2022,9 SEP 22 3.5 C,1
9/6/2022,16 SEP 22 0.5 C,6,9/7/2022,16 SEP 22 0.5 C,6,9/8/2022,16 SEP 22 0.5 C,6
9/6/2022,16 SEP 22 1 C,280,9/7/2022,16 SEP 22 1 C,280,9/8/2022,16 SEP 22 1 C,280
9/6/2022,16 SEP 22 1.5 C,2511,9/7/2022,16 SEP 22 1.5 C,2511,9/8/2022,16 SEP 22 1.5 C,2511
9/6/2022,16 SEP 22 2 C,3608,9/7/2022,16 SEP 22 2 C,3608,9/8/2022,16 SEP 22 2 C,3608
9/6/2022,16 SEP 22 2.5 C,3158,9/7/2022,16 SEP 22 2.5 C,3158,9/8/2022,16 SEP 22 2.5 C,3158
9/6/2022,16 SEP 22 3 C,1299,9/7/2022,16 SEP 22 3 C,1299,9/8/2022,16 SEP 22 3 C,1299
9/6/2022,16 SEP 22 4 C,615,9/7/2022,16 SEP 22 4 C,615,9/8/2022,16 SEP 22 4 C,615
9/6/2022,23 SEP 22 0.5 C,2,9/7/2022,23 SEP 22 0.5 C,2,9/8/2022,23 SEP 22 0.5 C,2
9/6/2022,23 SEP 22 1 C,57,9/7/2022,23 SEP 22 1 C,57,9/8/2022,23 SEP 22 1 C,57
9/6/2022,23 SEP 22 1.5 C,662,9/7/2022,23 SEP 22 1.5 C,662,9/8/2022,23 SEP 22 1.5 C,662
9/6/2022,23 SEP 22 2 C,517,9/7/2022,23 SEP 22 2 C,517,9/8/2022,23 SEP 22 2 C,517
9/6/2022,23 SEP 22 2.5 C,611,9/7/2022,23 SEP 22 2.5 C,611,9/8/2022,23 SEP 22 2.5 C,611
9/6/2022,23 SEP 22 3 C,112,9/7/2022,23 SEP 22 3 C,112,9/8/2022,23 SEP 22 3 C,112
9/6/2022,23 SEP 22 3.5 C,11,9/7/2022,23 SEP 22 3.5 C,11,9/8/2022,23 SEP 22 3.5 C,11
9/6/2022,30 SEP 22 0.5 C,1,9/7/2022,30 SEP 22 0.5 C,1,9/8/2022,30 SEP 22 0.5 C,1
9/6/2022,30 SEP 22 1 C,30,9/7/2022,30 SEP 22 1 C,30,9/8/2022,30 SEP 22 1 C,30
9/6/2022,30 SEP 22 1.5 C,1676,9/7/2022,30 SEP 22 1.5 C,1676,9/8/2022,30 SEP 22 1.5 C,1676
9/6/2022,30 SEP 22 2 C,664,9/7/2022,30 SEP 22 2 C,664,9/8/2022,30 SEP 22 2 C,664
9/6/2022,30 SEP 22 2.5 C,95,9/7/2022,30 SEP 22 2.5 C,95,9/8/2022,30 SEP 22 2.5 C,95
9/6/2022,30 SEP 22 3 C,12,9/7/2022,30 SEP 22 3 C,12,9/8/2022,30 SEP 22 3 C,12
9/6/2022,30 SEP 22 3.5 C,4,9/7/2022,30 SEP 22 3.5 C,4,9/8/2022,30 SEP 22 3.5 C,4
9/6/2022,7 OCT 22 1 C,2,9/7/2022,7 OCT 22 1 C,2,9/8/2022,7 OCT 22 1 C,2
9/6/2022,7 OCT 22 1.5 C,309,9/7/2022,7 OCT 22 1.5 C,309,9/8/2022,7 OCT 22 1.5 C,309
9/6/2022,7 OCT 22 2 C,85,9/7/2022,7 OCT 22 2 C,85,9/8/2022,7 OCT 22 2 C,85
9/6/2022,7 OCT 22 2.5 C,5,9/7/2022,7 OCT 22 2.5 C,5,9/8/2022,7 OCT 22 2.5 C,5
9/6/2022,14 OCT 22 1.5 C,49,9/7/2022,14 OCT 22 1.5 C,49,9/8/2022,14 OCT 22 1.5 C,49
9/6/2022,14 OCT 22 2.5 C,1,9/7/2022,14 OCT 22 2.5 C,1,9/8/2022,14 OCT 22 2.5 C,1
9/6/2022,21 OCT 22 0.5 C,71,9/7/2022,21 OCT 22 0.5 C,71,9/8/2022,21 OCT 22 0.5 C,71
9/6/2022,21 OCT 22 1 C,417,9/7/2022,21 OCT 22 1 C,417,9/8/2022,21 OCT 22 1 C,417
9/6/2022,21 OCT 22 1.5 C,2019,9/7/2022,21 OCT 22 1.5 C,2019,9/8/2022,21 OCT 22 1.5 C,2019
9/6/2022,21 OCT 22 2 C,5586,9/7/2022,21 OCT 22 2 C,5586,9/8/2022,21 OCT 22 2 C,5586
9/6/2022,21 OCT 22 2.5 C,4454,9/7/2022,21 OCT 22 2.5 C,4454,9/8/2022,21 OCT 22 2.5 C,4454
9/6/2022,21 OCT 22 3 C,2041,9/7/2022,21 OCT 22 3 C,2041,9/8/2022,21 OCT 22 3 C,2041
9/6/2022,21 OCT 22 3.5 C,862,9/7/2022,21 OCT 22 3.5 C,862,9/8/2022,21 OCT 22 3.5 C,862
9/6/2022,21 OCT 22 4 C,1620,9/7/2022,21 OCT 22 4 C,1620,9/8/2022,21 OCT 22 4 C,1620
9/6/2022,21 OCT 22 4.5 C,457,9/7/2022,21 OCT 22 4.5 C,457,9/8/2022,21 OCT 22 4.5 C,457
9/6/2022,21 OCT 22 5 C,1562,9/7/2022,21 OCT 22 5 C,1562,9/8/2022,21 OCT 22 5 C,1562
9/6/2022,16 DEC 22 0.5 C,122,9/7/2022,16 DEC 22 0.5 C,122,9/8/2022,16 DEC 22 0.5 C,122
9/6/2022,16 DEC 22 1 C,274,9/7/2022,16 DEC 22 1 C,274,9/8/2022,16 DEC 22 1 C,274
9/6/2022,16 DEC 22 1.5 C,51087,9/7/2022,16 DEC 22 1.5 C,51087,9/8/2022,16 DEC 22 1.5 C,51087
9/6/2022,16 DEC 22 2 C,1452,9/7/2022,16 DEC 22 2 C,1452,9/8/2022,16 DEC 22 2 C,1452
9/6/2022,16 DEC 22 2.5 C,1286,9/7/2022,16 DEC 22 2.5 C,1286,9/8/2022,16 DEC 22 2.5 C,1286
9/6/2022,16 DEC 22 3 C,15892,9/7/2022,16 DEC 22 3 C,15892,9/8/2022,16 DEC 22 3 C,15892
9/6/2022,16 DEC 22 3.5 C,1180,9/7/2022,16 DEC 22 3.5 C,1180,9/8/2022,16 DEC 22 3.5 C,1180
9/6/2022,16 DEC 22 4 C,1667,9/7/2022,16 DEC 22 4 C,1667,9/8/2022,16 DEC 22 4 C,1667
9/6/2022,16 DEC 22 4.5 C,1120,9/7/2022,16 DEC 22 4.5 C,1120,9/8/2022,16 DEC 22 4.5 C,1120
9/6/2022,16 DEC 22 5 C,12785,9/7/2022,16 DEC 22 5 C,12785,9/8/2022,16 DEC 22 5 C,12785
9/6/2022,16 DEC 22 5.5 C,2296,9/7/2022,16 DEC 22 5.5 C,2296,9/8/2022,16 DEC 22 5.5 C,2296
9/6/2022,16 DEC 22 8 C,10862,9/7/2022,16 DEC 22 8 C,10862,9/8/2022,16 DEC 22 8 C,10862
9/6/2022,16 DEC 22 10 C,11362,9/7/2022,16 DEC 22 10 C,11362,9/8/2022,16 DEC 22 10 C,11362
9/6/2022,16 DEC 22 12 C,7183,9/7/2022,16 DEC 22 12 C,7183,9/8/2022,16 DEC 22 12 C,7183
9/6/2022,16 DEC 22 15 C,6059,9/7/2022,16 DEC 22 15 C,6059,9/8/2022,16 DEC 22 15 C,6059
9/6/2022,16 DEC 22 17 C,2328,9/7/2022,16 DEC 22 17 C,2328,9/8/2022,16 DEC 22 17 C,2328
9/6/2022,16 DEC 22 20 C,12736,9/7/2022,16 DEC 22 20 C,12736,9/8/2022,16 DEC 22 20 C,12736
9/6/2022,16 DEC 22 22 C,521,9/7/2022,16 DEC 22 22 C,521,9/8/2022,16 DEC 22 22 C,521
9/6/2022,16 DEC 22 25 C,5587,9/7/2022,16 DEC 22 25 C,5587,9/8/2022,16 DEC 22 25 C,5587
9/6/2022,16 DEC 22 27 C,8326,9/7/2022,16 DEC 22 27 C,8326,9/8/2022,16 DEC 22 27 C,8326
9/6/2022,20 JAN 23 0.5 C,210,9/7/2022,20 JAN 23 0.5 C,210,9/8/2022,20 JAN 23 0.5 C,210
9/6/2022,20 JAN 23 1 C,679,9/7/2022,20 JAN 23 1 C,679,9/8/2022,20 JAN 23 1 C,679
9/6/2022,20 JAN 23 1.5 C,1137,9/7/2022,20 JAN 23 1.5 C,1137,9/8/2022,20 JAN 23 1.5 C,1137
9/6/2022,20 JAN 23 2 C,3393,9/7/2022,20 JAN 23 2 C,3393,9/8/2022,20 JAN 23 2 C,3393
9/6/2022,20 JAN 23 2.5 C,3479,9/7/2022,20 JAN 23 2.5 C,3479,9/8/2022,20 JAN 23 2.5 C,3479
9/6/2022,20 JAN 23 3 C,7277,9/7/2022,20 JAN 23 3 C,7277,9/8/2022,20 JAN 23 3 C,7277
9/6/2022,20 JAN 23 3.5 C,1510,9/7/2022,20 JAN 23 3.5 C,1510,9/8/2022,20 JAN 23 3.5 C,1510
9/6/2022,20 JAN 23 4 C,2667,9/7/2022,20 JAN 23 4 C,2667,9/8/2022,20 JAN 23 4 C,2667
9/6/2022,20 JAN 23 4.5 C,7857,9/7/2022,20 JAN 23 4.5 C,7857,9/8/2022,20 JAN 23 4.5 C,7857
9/6/2022,20 JAN 23 5 C,14758,9/7/2022,20 JAN 23 5 C,14758,9/8/2022,20 JAN 23 5 C,14758
9/6/2022,20 JAN 23 5.5 C,3795,9/7/2022,20 JAN 23 5.5 C,3795,9/8/2022,20 JAN 23 5.5 C,3795
9/6/2022,20 JAN 23 7 C,9587,9/7/2022,20 JAN 23 7 C,9587,9/8/2022,20 JAN 23 7 C,9587
9/6/2022,20 JAN 23 10 C,14532,9/7/2022,20 JAN 23 10 C,14532,9/8/2022,20 JAN 23 10 C,14532
9/6/2022,20 JAN 23 12 C,5163,9/7/2022,20 JAN 23 12 C,5163,9/8/2022,20 JAN 23 12 C,5163
9/6/2022,20 JAN 23 15 C,2404,9/7/2022,20 JAN 23 15 C,2404,9/8/2022,20 JAN 23 15 C,2404
9/6/2022,20 JAN 23 20 C,3142,9/7/2022,20 JAN 23 20 C,3142,9/8/2022,20 JAN 23 20 C,3142
9/6/2022,21 APR 23 0.5 C,16,9/7/2022,21 APR 23 0.5 C,16,9/8/2022,21 APR 23 0.5 C,16
9/6/2022,21 APR 23 1 C,575,9/7/2022,21 APR 23 1 C,575,9/8/2022,21 APR 23 1 C,575
9/6/2022,21 APR 23 1.5 C,113,9/7/2022,21 APR 23 1.5 C,113,9/8/2022,21 APR 23 1.5 C,113
9/6/2022,21 APR 23 2 C,33,9/7/2022,21 APR 23 2 C,33,9/8/2022,21 APR 23 2 C,33
9/6/2022,21 APR 23 2.5 C,311,9/7/2022,21 APR 23 2.5 C,311,9/8/2022,21 APR 23 2.5 C,311
9/6/2022,21 APR 23 3 C,29,9/7/2022,21 APR 23 3 C,29,9/8/2022,21 APR 23 3 C,29
9/6/2022,21 APR 23 3.5 C,13,9/7/2022,21 APR 23 3.5 C,13,9/8/2022,21 APR 23 3.5 C,13
9/6/2022,21 APR 23 4 C,40,9/7/2022,21 APR 23 4 C,40,9/8/2022,21 APR 23 4 C,40
9/6/2022,21 APR 23 5 C,9,9/7/2022,21 APR 23 5 C,9,9/8/2022,21 APR 23 5 C,9
9/6/2022,19 JAN 24 0.5 C,515,9/7/2022,19 JAN 24 0.5 C,515,9/8/2022,19 JAN 24 0.5 C,515
9/6/2022,19 JAN 24 1 C,1112,9/7/2022,19 JAN 24 1 C,1112,9/8/2022,19 JAN 24 1 C,1112
9/6/2022,19 JAN 24 1.5 C,2273,9/7/2022,19 JAN 24 1.5 C,2273,9/8/2022,19 JAN 24 1.5 C,2273
9/6/2022,19 JAN 24 2 C,8223,9/7/2022,19 JAN 24 2 C,8223,9/8/2022,19 JAN 24 2 C,8223
9/6/2022,19 JAN 24 2.5 C,3297,9/7/2022,19 JAN 24 2.5 C,3297,9/8/2022,19 JAN 24 2.5 C,3297
9/6/2022,19 JAN 24 3 C,10742,9/7/2022,19 JAN 24 3 C,10742,9/8/2022,19 JAN 24 3 C,10742
9/6/2022,19 JAN 24 3.5 C,864,9/7/2022,19 JAN 24 3.5 C,864,9/8/2022,19 JAN 24 3.5 C,864
9/6/2022,19 JAN 24 4 C,1142,9/7/2022,19 JAN 24 4 C,1142,9/8/2022,19 JAN 24 4 C,1142
9/6/2022,19 JAN 24 4.5 C,504,9/7/2022,19 JAN 24 4.5 C,504,9/8/2022,19 JAN 24 4.5 C,504
9/6/2022,19 JAN 24 5 C,9969,9/7/2022,19 JAN 24 5 C,9969,9/8/2022,19 JAN 24 5 C,9969
9/6/2022,19 JAN 24 5.5 C,398,9/7/2022,19 JAN 24 5.5 C,398,9/8/2022,19 JAN 24 5.5 C,398
9/6/2022,19 JAN 24 7 C,6673,9/7/2022,19 JAN 24 7 C,6673,9/8/2022,19 JAN 24 7 C,6673
9/6/2022,19 JAN 24 10 C,4763,9/7/2022,19 JAN 24 10 C,4763,9/8/2022,19 JAN 24 10 C,4763
9/6/2022,19 JAN 24 12 C,7859,9/7/2022,19 JAN 24 12 C,7859,9/8/2022,19 JAN 24 12 C,7859
